Rank,Title,Score,Type,Episodes,Aired_Date,Members
865,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",7.93,Special,1,Jul 2008 - Jul 2008,"322,514 members"
866,Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,7.93,Movie,1,Aug 2017 - Aug 2017,"106,576 members"
867,Hug tto! Precure,7.93,TV,49,Feb 2018 - Jan 2019,"32,080 members"
868,Ie Naki Ko,7.93,TV,51,Oct 1977 - Oct 1978,"19,971 members"
869,Nagi no Asu kara,7.93,TV,26,Oct 2013 - Apr 2014,"642,423 members"
870,Sakasama no Patema,7.93,Movie,1,Nov 2013 - Nov 2013,"325,510 members"
871,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,7.93,TV,26,Oct 2005 - Mar 2006,"115,518 members"
872,xxxHOLiC Movie: Manatsu no Yoru no Yume,7.93,Movie,1,Aug 2005 - Aug 2005,"71,853 members"
873,Zhu Xian 2nd Season,7.93,ONA,26,Mar 2024 - Aug 2024,"3,641 members"
874,Zhu Xian 3rd Season,7.93,ONA,26,Jun 2025 - Oct 2025,"1,730 members"
875,Benghuai: Xing Qiong Tiedao - Gelamo de Yujin,7.92,ONA,1,Jun 2024 - Jun 2024,"3,628 members"
876,Berserk: Ougon Jidai-hen - Memorial Edition,7.92,TV,13,Oct 2022 - Dec 2022,"55,982 members"
877,Bishoujo Senshi Sailor Moon S,7.92,TV,38,Mar 1994 - Feb 1995,"160,327 members"
878,Boku no Hero Academia the Movie 2: Heroes:Rising,7.92,Movie,1,Dec 2019 - Dec 2019,"641,089 members"
879,Dead Dead Demons Dededede Destruction (ONA),7.92,ONA,17,May 2024 - Sep 2024,"71,808 members"
880,Ginga Tokkyuu Milky☆Subway,7.92,TV,12,Jul 2025 - Sep 2025,"22,530 members"
881,Gochuumon wa Usagi desu ka? Bloom,7.92,TV,12,Oct 2020 - Dec 2020,"73,566 members"
882,Heartcatch Precure!,7.92,TV,49,Feb 2010 - Jan 2011,"37,761 members"
883,Hidamari Sketch x ☆☆☆,7.92,TV,12,Jan 2010 - Mar 2010,"31,362 members"
884,Hikaru no Go: Hokuto Hai e no Michi,7.92,Special,1,Jan 2004 - Jan 2004,"26,273 members"
885,Ie Naki Ko Remy,7.92,TV,23,Sep 1996 - Mar 1997,"24,184 members"
886,Initial D Third Stage,7.92,Movie,1,Jan 2001 - Jan 2001,"211,017 members"
887,Kidou Senshi Zeta Gundam,7.92,TV,50,Mar 1985 - Feb 1986,"89,758 members"
888,Love Live! The School Idol Movie,7.92,Movie,1,Jun 2015 - Jun 2015,"139,722 members"
889,Mahoutsukai no Yome Season 2 Part 2,7.92,TV,12,Oct 2023 - Dec 2023,"128,456 members"
890,Mawaru Penguindrum,7.92,TV,24,Jul 2011 - Dec 2011,"322,694 members"
891,My Melody & Kuromi,7.92,ONA,12,Jul 2025 - Jul 2025,"7,773 members"
892,Nurarihyon no Mago: Sennen Makyou,7.92,TV,24,Jul 2011 - Dec 2011,"173,856 members"
893,Osomatsu-san,7.92,TV,25,Oct 2015 - Mar 2016,"182,490 members"
894,Plastic Memories,7.92,TV,13,Apr 2015 - Jun 2015,"1,043,738 members"
895,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,7.92,TV,12,Apr 2018 - Jun 2018,"781,471 members"
896,Summer Ghost,7.92,Movie,1,Nov 2021 - Nov 2021,"156,972 members"
897,Wu Dong Qian Kun 6th Season,7.92,ONA,12,Nov 2025 - Dec 2025,"1,689 members"
898,Yowamushi Pedal,7.92,TV,38,Oct 2013 - Jul 2014,"249,391 members"
899,BanG Dream! Movie: Poppin' Dream!,7.91,Movie,1,Jan 2022 - Jan 2022,"13,868 members"
900,Bungou Stray Dogs: Dead Apple,7.91,Movie,1,Mar 2018 - Mar 2018,"319,221 members"
901,City Hunter,7.91,TV,51,Apr 1987 - Mar 1988,"92,965 members"
902,Code Geass: Fukkatsu no Lelouch,7.91,Movie,1,Feb 2019 - Feb 2019,"349,297 members"
903,Eyeshield 21,7.91,TV,145,Apr 2005 - Mar 2008,"197,419 members"
904,Full Metal Panic! The Second Raid,7.91,TV,13,Jul 2005 - Oct 2005,"275,355 members"
905,Hanamonogatari,7.91,TV Special,5,Aug 2014 - Aug 2014,"459,037 members"
906,Kaleido Star,7.91,TV,51,Apr 2003 - Mar 2004,"93,487 members"
907,Kimi to Boku. 2,7.91,TV,13,Apr 2012 - Jun 2012,"95,087 members"
908,Kuuchuu Buranko,7.91,TV,11,Oct 2009 - Dec 2009,"103,983 members"
909,Love Live! Superstar!!,7.91,TV,12,Jul 2021 - Oct 2021,"79,751 members"
