Rank,Title,Score,Type,Episodes,Aired_Date,Members
1261,Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,7.77,TV,12,Jan 2024 - Mar 2024,"530,082 members"
1262,Master Keaton OVA,7.77,OVA,15,Dec 1999 - Jun 2000,"12,654 members"
1263,Saint Seiya,7.77,TV,114,Oct 1986 - Apr 1989,"206,844 members"
1264,Shiguang Dailiren Fanwai Pian: Biwu Zhaoqin,7.77,ONA,1,May 2021 - May 2021,"57,393 members"
1265,Tianbao Fuyao Lu 2nd Season,7.77,ONA,13,Apr 2021 - Aug 2021,"4,976 members"
1266,Tonikaku Kawaii: Joshikou-hen,7.77,ONA,4,Jul 2023 - Aug 2023,"80,878 members"
1267,You Shou Yan 2nd Season,7.77,ONA,12,Jun 2023 - Sep 2023,"1,374 members"
1268,Yuru Yuri Nachuyachumi!+,7.77,TV Special,2,Aug 2015 - Sep 2015,"59,775 members"
1269,Akagami no Shirayuki-hime,7.76,TV,12,Jul 2015 - Sep 2015,"748,614 members"
1270,Beastars Final Season,7.76,ONA,12,Dec 2024 - Dec 2024,"118,489 members"
1271,Bishoujo Senshi Sailor Moon,7.76,TV,46,Mar 1992 - Feb 1993,"419,897 members"
1272,Bishoujo Senshi Sailor Moon Eternal Movie 2,7.76,Movie,1,Feb 2021 - Feb 2021,"31,277 members"
1273,Black Jack,7.76,OVA,12,Dec 1993 - Dec 2011,"47,238 members"
1274,Boku no Kokoro no Yabai Yatsu Movie,7.76,Movie,1,Feb 2026 - Feb 2026,"43,891 members"
1275,Charlotte,7.76,TV,13,Jul 2015 - Sep 2015,"1,787,845 members"
1276,Da Zhuzai: Nian Fan,7.76,ONA,52,Jun 2023 - Jun 2024,"3,620 members"
1277,Gokinjo Monogatari,7.76,TV,50,Sep 1995 - Sep 1996,"32,724 members"
1278,Hibi wa Sugiredo Meshi Umashi,7.76,TV,12,Apr 2025 - Jun 2025,"54,432 members"
1279,Hug tto! Precure♡Futari wa Precure Movie: All Stars Memories,7.76,Movie,1,Oct 2018 - Oct 2018,"5,463 members"
1280,JoJo no Kimyou na Bouken: Phantom Blood,7.76,Movie,1,Feb 2007 - Feb 2007,"76,057 members"
1281,Kubikiri Cycle: Aoiro Savant to Zaregotozukai,7.76,OVA,8,Oct 2016 - Sep 2017,"115,146 members"
1282,Love Live! School Idol Project 2nd Season,7.76,TV,13,Apr 2014 - Jun 2014,"274,554 members"
1283,Lucky☆Star,7.76,TV,24,Apr 2007 - Sep 2007,"705,062 members"
1284,Maria-sama ga Miteru 4th,7.76,TV,13,Jan 2009 - Mar 2009,"25,079 members"
1285,Mujin Wakusei Survive,7.76,TV,52,Oct 2003 - Oct 2004,"33,648 members"
1286,Psycho-Pass 3: First Inspector,7.76,ONA,3,Mar 2020 - Mar 2020,"113,487 members"
1287,Saenai Heroine no Sodatekata ♭,7.76,TV,11,Apr 2017 - Jun 2017,"403,210 members"
1288,Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,7.76,Movie,1,Jun 2023 - Jun 2023,"215,420 members"
1289,Seitokai Yakuindomo Movie 2,7.76,Movie,1,Jan 2021 - Jan 2021,"37,404 members"
1290,"Tadaima, Okaeri",7.76,TV,12,Apr 2024 - Jun 2024,"49,030 members"
1291,Taiyou no Ko Esteban,7.76,TV,39,May 1982 - Feb 1983,"16,326 members"
1292,Tantei Gakuen Q,7.76,TV,45,Apr 2003 - Mar 2004,"38,252 members"
1293,Texhnolyze,7.76,TV,22,Apr 2003 - Sep 2003,"296,700 members"
1294,Urusei Yatsura,7.76,TV,195,Oct 1981 - Mar 1986,"100,520 members"
1295,BanG Dream! Garupa☆Pico,7.75,ONA,26,Jul 2018 - Dec 2018,"24,646 members"
1296,Beastars 2nd Season,7.75,TV,12,Jan 2021 - Mar 2021,"501,406 members"
1297,Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma,7.75,OVA,1,Sep 2017 - Sep 2017,"47,538 members"
1298,Chuan Shu Zijiu Zhinan,7.75,ONA,10,Sep 2020 - Oct 2020,"23,760 members"
1299,City Hunter '91,7.75,TV,13,Apr 1991 - Oct 1991,"29,523 members"
1300,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,7.75,TV,11,Jul 2022 - Oct 2022,"417,545 members"
1301,Edogawa Conan Shissou Jiken: Shijou Saiaku no Futsukakan,7.75,TV Special,1,Dec 2014 - Dec 2014,"14,907 members"
1302,Free! Take Your Marks,7.75,Movie,1,Oct 2017 - Oct 2017,"92,882 members"
1303,Gakkou no Kaidan,7.75,TV,19,Oct 2000 - Mar 2001,"257,589 members"
1304,Gakuen Babysitters Special,7.75,Special,1,Sep 2018 - Sep 2018,"50,142 members"
1305,Genshiken 2,7.75,TV,12,Oct 2007 - Dec 2007,"89,601 members"
1306,Gundam Build Fighters,7.75,TV,25,Oct 2013 - Mar 2014,"82,393 members"
1307,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen - Ryoushu no Youjo,7.75,TV,24,Apr 2026 -,"90,732 members"
1308,Jujutsu Kaisen 2nd Season Recaps,7.75,TV Special,2,Aug 2023 - Aug 2023,"38,906 members"
1309,Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),7.75,Movie,1,Dec 2007 - Dec 2007,"257,911 members"
1310,Luo Xiaohei Zhanji,7.75,ONA,28,Mar 2011 - Aug 2019,"8,213 members"
1311,Lupin III vs. Meitantei Conan,7.75,TV Special,1,Mar 2009 - Mar 2009,"39,500 members"
1312,Mofa Gongzhu de Xiao Fannao,7.75,ONA,16,Sep 2025 - Dec 2025,"53,152 members"
1313,Overlord II,7.75,TV,13,Jan 2018 - Apr 2018,"1,145,721 members"
1314,Overlord Movie 3: Sei Oukoku-hen,7.75,Movie,1,Sep 2024 - Sep 2024,"126,130 members"
1315,Saiyuuki Gaiden,7.75,OVA,3,Mar 2011 - Nov 2011,"14,858 members"
1316,Saraiya Goyou,7.75,TV,12,Apr 2010 - Jul 2010,"101,984 members"
1317,Sekaiichi Hatsukoi: Valentine-hen,7.75,Movie,1,Mar 2014 - Mar 2014,"44,840 members"
1318,Shiki Specials,7.75,Special,2,May 2011 - Jun 2011,"77,432 members"
1319,Shounan Bakusouzoku,7.75,OVA,12,Sep 1986 - Mar 1999,"8,616 members"
1320,Toshokan Sensou: Kakumei no Tsubasa,7.75,Movie,1,Jun 2012 - Jun 2012,"26,352 members"
1321,Toujima Tanzaburou wa Kamen Rider ni Naritai,7.75,TV,24,Oct 2025 - Mar 2026,"69,532 members"
1322,Zan Sayonara Zetsubou Sensei Bangaichi,7.75,OVA,2,Nov 2009 - Feb 2010,"42,990 members"
1323,Zhan Shen: Fanchen Shenyu II,7.75,ONA,15,Jun 2026 - Aug 2026,"1,644 members"
1324,BanG Dream! Garupa☆Pico Fever!,7.74,ONA,26,Oct 2021 - Mar 2022,"7,901 members"
1325,BanG Dream! Movie: Episode of Roselia - I: Yakusoku,7.74,Movie,1,Apr 2021 - Apr 2021,"13,829 members"
1326,Bishoujo Senshi Sailor Moon R,7.74,TV,43,Mar 1993 - Mar 1994,"173,834 members"
1327,Bishoujo Senshi Sailor Moon R: The Movie,7.74,Movie,1,Dec 1993 - Dec 1993,"73,042 members"
1328,Colorful (Movie),7.74,Movie,1,Aug 2010 - Aug 2010,"217,452 members"
1329,Devilman: Crybaby,7.74,ONA,10,Jan 2018 - Jan 2018,"1,295,275 members"
1330,Doraemon Movie 44: Nobita no E Sekai Monogatari,7.74,Movie,1,Mar 2025 - Mar 2025,"2,149 members"
1331,Dragon Ball Kai (2014),7.74,TV,61,Apr 2014 - Jun 2015,"220,518 members"
1332,Evangelion: Housou 30-shuunen Kinen Tokubetsu Kougyou,7.74,Special,1,Feb 2026 - Feb 2026,"8,033 members"
1333,Ghost Hunt,7.74,TV,25,Oct 2006 - Mar 2007,"244,621 members"
1334,Girls & Panzer: Kore ga Hontou no Anzio-sen desu!,7.74,OVA,1,Jul 2014 - Jul 2014,"55,966 members"
1335,Golden Time,7.74,TV,24,Oct 2013 - Mar 2014,"1,152,874 members"
1336,Hidamari Sketch x 365 Specials,7.74,Special,3,Mar 2009 - Oct 2009,"19,430 members"
1337,High Score Girl,7.74,TV,12,Jul 2018 - Sep 2018,"285,730 members"
1338,Isekai Ojisan,7.74,TV,13,Jul 2022 - Mar 2023,"439,480 members"
1339,Kidou Keisatsu Patlabor: On Television,7.74,TV,47,Oct 1989 - Sep 1990,"47,825 members"
1340,Kidou Senshi Gundam SEED,7.74,TV,50,Oct 2002 - Sep 2003,"187,362 members"
1341,Kimi ga Shinu made Koi wo Shitai,7.74,TV,13,Jul 2026 - Sep 2026,"87,506 members"
1342,Kuroko no Basket: Last Game NG-shuu,7.74,Special,1,Sep 2017 - Sep 2017,"37,953 members"
1343,Little Witch Academia: Mahoujikake no Parade,7.74,Movie,1,Oct 2015 - Oct 2015,"180,038 members"
1344,Luo Xiaohei Zhanji: Zhongsheng Zhi Men,7.74,ONA,12,Apr 2021 - Jul 2021,"2,545 members"
1345,Mairimashita! Iruma-kun,7.74,TV,23,Oct 2019 - Mar 2020,"580,842 members"
1346,Meitantei Conan Movie 19: Gouka no Himawari,7.74,Movie,1,Apr 2015 - Apr 2015,"45,309 members"
1347,Meitantei Conan OVA 10: Kid in Trap Island,7.74,OVA,1,Apr 2010 - Apr 2010,"20,016 members"
1348,Neko to Ryuu,7.74,TV,12,Jul 2026 - Sep 2026,"40,941 members"
1349,Panty & Stocking with Garterbelt,7.74,TV,13,Oct 2010 - Dec 2010,"452,473 members"
1350,Pokemon: The Origin,7.74,TV Special,4,Oct 2013 - Oct 2013,"248,914 members"
1351,Ranma ½ (2024) 2nd Season,7.74,TV,12,Oct 2025 - Dec 2025,"84,054 members"
1352,Ranma ½ OVA,7.74,OVA,6,Oct 1993 - Aug 1994,"39,200 members"
1353,Seitokai Yakuindomo OVA,7.74,OVA,8,Apr 2011 - Oct 2013,"137,634 members"
1354,Shin Kidou Senki Gundam Wing: Endless Waltz,7.74,OVA,3,Jan 1997 - Jul 1997,"52,156 members"
1355,Shingeki no Kyojin: The Final Season Specials,7.74,Special,2,Jul 2021 - Aug 2021,"21,316 members"
1356,Tentai Senshi Sunred,7.74,TV,26,Oct 2008 - Mar 2009,"23,448 members"
1357,The iDOLM@STER Cinderella Girls: U149,7.74,TV,12,Apr 2023 - Jun 2023,"19,661 members"
1358,Udon no Kuni no Kiniro Kemari,7.74,TV,12,Oct 2016 - Dec 2016,"145,796 members"
1359,Yamada-kun to Lv999 no Koi wo Suru,7.74,TV,13,Apr 2023 - Jun 2023,"573,841 members"
1360,Yoru no Kurage wa Oyogenai,7.74,TV,12,Apr 2024 - Jun 2024,"137,374 members"
1361,Zhe Tian,7.74,ONA,208,May 2023 -,"4,429 members"
1362,Bai Yao Pu: Jingshi Pian,7.73,ONA,12,Jul 2022 - Oct 2022,"4,672 members"
1363,Claymore,7.73,TV,26,Apr 2007 - Sep 2007,"731,445 members"
1364,Date A Live IV,7.73,TV,12,Apr 2022 - Jun 2022,"295,359 members"
1365,Death Note: Rewrite,7.73,TV Special,2,Aug 2007 - Aug 2008,"228,702 members"
1366,Doupo Cangqiong Special 2: Sha Zhi Lan Ge,7.73,ONA,3,Apr 2019 - Apr 2019,"5,169 members"
1367,Huangjin Tingyuan: Dongri Li de Xinnian Yuanwang,7.73,ONA,2,Jan 2023 - Jan 2023,"4,152 members"
1368,Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,7.73,Movie,1,Feb 2005 - Feb 2005,"63,575 members"
1369,Kumichou Musume to Sewagakari,7.73,TV,12,Jul 2022 - Sep 2022,"266,820 members"
1370,Love Live! Nijigasaki Gakuen School Idol Doukoukai: Kanketsu-hen Part 2,7.73,Movie,1,Nov 2025 - Nov 2025,"5,876 members"
1371,Macross Plus,7.73,OVA,4,Aug 1994 - Jun 1995,"57,284 members"
1372,Macross Plus Movie Edition,7.73,Movie,1,Oct 1995 - Oct 1995,"21,125 members"
1373,Memories,7.73,Movie,3,Dec 1995 - Dec 1995,"163,742 members"
1374,Shaman King,7.73,TV,64,Jul 2001 - Sep 2002,"387,327 members"
1375,Shokugeki no Souma: Shin no Sara,7.73,TV,12,Oct 2019 - Dec 2019,"679,163 members"
1376,Soukou Kihei Votoms,7.73,TV,52,Apr 1983 - Mar 1984,"30,705 members"
1377,Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,7.73,Movie,1,Dec 2014 - Dec 2014,"16,635 members"
1378,Undead Unluck,7.73,TV,24,Oct 2023 - Mar 2024,"358,851 members"
1379,Aggressive Retsuko (ONA) 2nd Season,7.72,ONA,10,Jun 2019 - Jun 2019,"128,482 members"
1380,Ani ni Tsukeru Kusuri wa Nai! 2,7.72,TV,24,Jul 2018 - Dec 2018,"56,319 members"
1381,Bakuten!! Movie,7.72,Movie,1,Jul 2022 - Jul 2022,"22,394 members"
1382,BanG Dream! Film Live,7.72,Movie,1,Sep 2019 - Sep 2019,"15,161 members"
1383,Cheng He Titong 2nd Season,7.72,ONA,24,Jan 2026 - Jun 2026,"2,172 members"
1384,Chi's Sweet Home: Atarashii Ouchi,7.72,TV,104,Mar 2009 - Sep 2009,"32,646 members"
1385,Chibi Maruko-chan,7.72,TV,142,Jan 1990 - Sep 1992,"14,354 members"
1386,Clevatess II: Majuu no Ou to Itsuwari no Yuusha Denshou,7.72,TV,13,Jul 2026 - Sep 2026,"85,198 members"
1387,Daicon Opening Animations,7.72,Special,2,Aug 1981 - Aug 1983,"23,928 members"
1388,Dragon Quest: Dai no Daibouken (2020),7.72,TV,100,Oct 2020 - Oct 2022,"81,617 members"
1389,Enen no Shouboutai,7.72,TV,24,Jul 2019 - Dec 2019,"1,570,525 members"
1390,Enen no Shouboutai: San no Shou,7.72,TV,12,Apr 2025 - Jun 2025,"337,141 members"
1391,Free! Movie 3: Road to the World - Yume,7.72,Movie,1,Jul 2019 - Jul 2019,"32,380 members"
1392,Grisaia no Rakuen,7.72,TV,10,Apr 2015 - Jun 2015,"439,998 members"
1393,Hakumei to Mikochi,7.72,TV,12,Jan 2018 - Mar 2018,"73,561 members"
1394,Higashi no Eden,7.72,TV,11,Apr 2009 - Jun 2009,"602,133 members"
1395,InuYasha: Kuroi Tessaiga,7.72,Special,1,Jul 2008 - Jul 2008,"40,173 members"
1396,Kageki Shoujo!!,7.72,TV,13,Jul 2021 - Sep 2021,"94,261 members"
1397,Kokoro Connect,7.72,TV,13,Jul 2012 - Sep 2012,"897,124 members"
1398,Kyou kara Maou! 3rd Series,7.72,TV,39,Apr 2008 - Feb 2009,"38,039 members"
1399,Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,7.72,Movie,1,Mar 2015 - Mar 2015,"179,638 members"
1400,Mono,7.72,TV,12,Apr 2025 - Jun 2025,"53,434 members"
1401,Neko no Ongaeshi,7.72,Movie,1,Jul 2002 - Jul 2002,"309,392 members"
1402,Princess Connect! Re:Dive Season 2,7.72,TV,12,Jan 2022 - Mar 2022,"143,978 members"
1403,Princess Principal: Crown Handler 2,7.72,Movie,1,Sep 2021 - Sep 2021,"19,891 members"
1404,Rozen Maiden: Ouvertüre,7.72,TV Special,2,Dec 2006 - Dec 2006,"64,504 members"
1405,Shen Mu: Nian Fan,7.72,ONA,52,Aug 2025 - Jul 2026,"1,258 members"
1406,Shunkashuutou Daikousha: Haru no Mai,7.72,TV,14,Mar 2026 - Jun 2026,"89,018 members"
1407,Slayers,7.72,TV,26,Apr 1995 - Sep 1995,"156,321 members"
1408,Tetsuwan Birdy Decode:02,7.72,TV,12,Jan 2009 - Mar 2009,"56,393 members"
1409,Tonikaku Kawaii: Seifuku,7.72,Special,1,Nov 2022 - Nov 2022,"115,156 members"
1410,Uchuu Kaizoku Captain Herlock,7.72,TV,42,Mar 1978 - Feb 1979,"44,094 members"
1411,Ueki no Housoku,7.72,TV,51,Apr 2005 - Mar 2006,"127,039 members"
1412,Xingchen Bian 5th Season,7.72,ONA,28,Dec 2022 - Jul 2023,"2,978 members"
1413,Yao Shen Ji 7th Season,7.72,ONA,52,Jan 2023 - Jul 2023,"3,241 members"
1414,"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",7.71,OVA,1,Jan 2016 - Jan 2016,"86,575 members"
1415,Arakawa Under the Bridge x Bridge,7.71,TV,13,Oct 2010 - Dec 2010,"174,213 members"
1416,Berserk: Ougon Jidai-hen I - Haou no Tamago,7.71,Movie,1,Feb 2012 - Feb 2012,"249,882 members"
1417,Date A Live V,7.71,TV,12,Apr 2024 - Jun 2024,"148,015 members"
1418,"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",7.71,TV,12,Jan 2019 - Mar 2019,"214,531 members"
1419,Fanren Xiu Xian Zhuan: Chongzhi Ban,7.71,ONA,21,Feb 2023 - Jun 2023,"1,816 members"
1420,Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,7.71,Movie,1,Jul 2021 - Jul 2021,"91,133 members"
1421,Final Fantasy VII: Advent Children,7.71,Movie,1,Sep 2005 - Sep 2005,"221,015 members"
1422,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",7.71,TV,12,Jan 2016 - Mar 2016,"611,407 members"
1423,Given Movie 2: Hiiragi Mix Specials,7.71,Special,4,Aug 2024 - Aug 2024,"3,127 members"
1424,Isekai no Seikishi Monogatari,7.71,OVA,13,May 2009 - May 2010,"217,959 members"
1425,Keroro Gunsou,7.71,TV,358,Apr 2004 - Apr 2011,"84,673 members"
1426,Kidou Senshi Gundam: Gyakushuu no Char,7.71,Movie,1,Mar 1988 - Mar 1988,"60,713 members"
1427,Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D,7.71,Movie,1,Mar 2011 - Mar 2011,"18,099 members"
1428,Kyoukai no Kanata,7.71,TV,12,Oct 2013 - Dec 2013,"1,253,751 members"
1429,Ling Long: Incarnation Final Chapter,7.71,ONA,2,May 2021 - May 2021,"2,886 members"
1430,Lycoris Recoil: Friends Are Thieves of Time.,7.71,ONA,6,Apr 2025 - May 2025,"62,134 members"
1431,Monogatari Series: Off & Monster Season - Zankoku Douwa: Utsukushi-hime,7.71,ONA,1,Aug 2024 - Aug 2024,"12,994 members"
1432,Princess Principal: Crown Handler 3,7.71,Movie,1,Apr 2023 - Apr 2023,"14,884 members"
1433,Princess Sara,7.71,TV,46,Jan 1985 - Dec 1985,"24,392 members"
1434,Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿,7.71,Movie,1,Mar 2019 - Mar 2019,"112,003 members"
1435,Saiyuuki Reload: Burial,7.71,OVA,3,Apr 2007 - Dec 2007,"14,946 members"
1436,Shiki,7.71,TV,22,Jul 2010 - Dec 2010,"655,287 members"
1437,Shoujo Kakumei Utena: Adolescence Mokushiroku,7.71,Movie,1,Aug 1999 - Aug 1999,"63,195 members"
1438,Sidonia no Kishi: Daikyuu Wakusei Seneki,7.71,TV,12,Apr 2015 - Jun 2015,"126,680 members"
1439,Tamayura: Sotsugyou Shashin Part 1 - Kizashi,7.71,Movie,1,Apr 2015 - Apr 2015,"14,129 members"
1440,Tegamibachi Reverse,7.71,TV,25,Oct 2010 - Mar 2011,"67,640 members"
1441,Tensei shitara Slime Datta Ken 3rd Season,7.71,TV,24,Apr 2024 - Sep 2024,"505,070 members"
1442,Tenshi no Tamago,7.71,OVA,1,Dec 1985 - Dec 1985,"190,612 members"
1443,Tiger & Bunny Movie 2: The Rising,7.71,Movie,1,Feb 2014 - Feb 2014,"34,653 members"
1444,Tsuki ga Michibiku Isekai Douchuu,7.71,TV,12,Jul 2021 - Sep 2021,"575,072 members"
1445,Tunshi Xingkong Movie: Juezhan Yuanshi Xing,7.71,ONA,1,May 2026 - May 2026,"1,136 members"
1446,Watashi no Ashinaga Ojisan,7.71,TV,40,Jan 1990 - Dec 1990,"19,780 members"
1447,Xingchen Bian 4th Season,7.71,ONA,16,Jan 2022 - Apr 2022,"3,524 members"
1448,Yamato Nadeshiko Shichihenge♥,7.71,TV,25,Oct 2006 - Mar 2007,"173,276 members"
1449,Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,7.70,Movie,1,Dec 1994 - Dec 1994,"58,734 members"
1450,Break Blade Movie 2: Ketsubetsu no Michi,7.70,Movie,1,Jun 2010 - Jun 2010,"64,148 members"
1451,Chuunibyou demo Koi ga Shitai!,7.70,TV,12,Oct 2012 - Dec 2012,"1,482,244 members"
1452,Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai,7.70,Movie,1,Mar 2007 - Mar 2007,"13,151 members"
1453,Fate/Grand Carnival,7.70,OVA,4,Dec 2020 - Oct 2021,"63,482 members"
1454,Isekai Shokudou 2,7.70,TV,12,Oct 2021 - Dec 2021,"119,142 members"
1455,Jinrui wa Suitai Shimashita,7.70,TV,12,Jul 2012 - Sep 2012,"203,070 members"
1456,Joshikousei no Mudazukai,7.70,TV,12,Jul 2019 - Sep 2019,"138,439 members"
1457,Kuroko no Basket 2nd Season NG-shuu,7.70,Special,9,Jan 2014 - Sep 2014,"70,083 members"
1458,Ling Long: Incarnation Special,7.70,ONA,1,May 2021 - May 2021,"2,444 members"
1459,Meitantei Conan Movie 16: 11-ninme no Striker,7.70,Movie,1,Apr 2012 - Apr 2012,"49,459 members"
1460,Nezha Zhi Mo Tong Jiang Shi,7.70,Movie,1,Jul 2019 - Jul 2019,"22,974 members"
1461,Noragami OVA,7.70,OVA,2,Feb 2014 - Jul 2014,"341,613 members"
1462,One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,7.70,TV Special,1,Aug 2015 - Aug 2015,"45,457 members"
1463,One Punch Man: Road to Hero,7.70,OVA,1,Dec 2015 - Dec 2015,"347,016 members"
1464,Overlord Movie 2: Shikkoku no Eiyuu,7.70,Movie,1,Mar 2017 - Mar 2017,"98,653 members"
1465,Pokemon Concierge,7.70,ONA,4,Dec 2023 - Dec 2023,"18,998 members"
1466,Saint Seiya: Meiou Hades Juuni Kyuu-hen - Yomigaerishi Gold Saint-tachi no Shinwa,7.70,Special,2,2003 - 2003,"10,774 members"
1467,School Rumble: Ichi Gakki Hoshuu,7.70,OVA,2,Dec 2005 - Dec 2005,"62,526 members"
1468,Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo,7.70,Movie,1,Oct 2022 - Oct 2022,"144,672 members"
1469,Tomo-chan wa Onnanoko!,7.70,TV,13,Jan 2023 - Mar 2023,"529,226 members"
1470,Tomodachi Game,7.70,TV,12,Apr 2022 - Jun 2022,"507,044 members"
1471,Uma Musume: Pretty Derby Season 3,7.70,TV,13,Oct 2023 - Dec 2023,"70,811 members"
1472,Uramichi Oniisan,7.70,TV,13,Jul 2021 - Sep 2021,"274,951 members"
1473,Ushiro no Shoumen Daare,7.70,Movie,1,Mar 1991 - Mar 1991,"16,062 members"
1474,"Watashi ga Koibito ni Nareru Wake Nai jan, Muri Muri! (※Muri ja Nakatta!?)",7.70,TV,12,Jul 2025 - Sep 2025,"114,159 members"
1475,Wind Breaker,7.70,TV,13,Apr 2024 - Jun 2024,"484,234 members"
1476,Yao Shen Ji 8th Season,7.70,ONA,52,Apr 2024 - Jul 2024,"2,301 members"
1477,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,7.70,TV,6,Oct 2017 - Nov 2017,"49,391 members"
1478,Zhe Tian Movie: Bei Guan Zhan Wang Teng,7.70,ONA,1,Apr 2026 - Apr 2026,859 members
1479,Aikatsu Stars!,7.69,TV,100,Apr 2016 - Mar 2018,"22,641 members"
1480,Aria the Animation,7.69,TV,13,Oct 2005 - Dec 2005,"180,639 members"
1481,BanG Dream! 5th Anniversary Animation: CiRCLE Thanks Party!,7.69,ONA,2,Mar 2022 - Mar 2022,"5,864 members"
1482,Fruits Basket,7.69,TV,26,Jul 2001 - Dec 2001,"571,682 members"
1483,Gekkan Shoujo Nozaki-kun Specials,7.69,Special,6,Sep 2014 - Feb 2015,"146,617 members"
1484,Haikyuu!! Lev Genzan!,7.69,OVA,1,Mar 2015 - Mar 2015,"147,304 members"
1485,Hakuouki Movie 2: Shikon Soukyuu,7.69,Movie,1,Mar 2014 - Mar 2014,"24,618 members"
1486,Hanasakeru Seishounen,7.69,TV,39,Apr 2009 - Feb 2010,"73,799 members"
1487,Hataraku Maou-sama!,7.69,TV,13,Apr 2013 - Jun 2013,"1,669,959 members"
1488,Hibike! Euphonium: Ensemble Contest-hen,7.69,Movie,1,Aug 2023 - Aug 2023,"38,437 members"
1489,IDOLiSH7,7.69,TV,17,Jan 2018 - May 2018,"79,521 members"
1490,Kakushigoto Movie,7.69,Movie,1,Jul 2021 - Jul 2021,"45,224 members"
1491,Kidou Senshi Gundam Unicorn RE:0096,7.69,TV,22,Apr 2016 - Sep 2016,"40,355 members"
1492,Kindaichi Shounen no Jikenbo Returns 2nd Season,7.69,TV,22,Oct 2015 - Mar 2016,"13,294 members"
1493,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",7.69,Special,1,Sep 2017 - Sep 2017,"238,745 members"
1494,Kyousou Giga (TV),7.69,TV,10,Oct 2013 - Dec 2013,"212,214 members"
1495,Little Busters! EX,7.69,Special,8,Jan 2014 - Jul 2014,"59,242 members"
1496,Muumindani no Suisei,7.69,Movie,1,Aug 1992 - Aug 1992,"12,466 members"
1497,Naruto: Shippuuden Movie 6 - Road to Ninja,7.69,Movie,1,Jul 2012 - Jul 2012,"385,165 members"
1498,New Game!!,7.69,TV,12,Jul 2017 - Sep 2017,"273,399 members"
1499,One Punch Man Specials,7.69,Special,6,Dec 2015 - May 2016,"350,082 members"
1500,Psycho-Pass Movie 1,7.69,Movie,1,Jan 2015 - Jan 2015,"294,368 members"
1501,Shigatsu wa Kimi no Uso: Moments,7.69,OVA,1,May 2015 - May 2015,"121,509 members"
1502,Tsurune: Kazemai Koukou Kyuudou-bu,7.69,TV,13,Oct 2018 - Jan 2019,"182,767 members"
1503,Yeon-ui Pyeonji,7.69,Movie,1,Oct 2025 - Oct 2025,"6,260 members"
1504,"Yuru Yuri,",7.69,OVA,1,Sep 2019 - Sep 2019,"36,608 members"
1505,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,7.69,TV,12,Jul 2023 - Dec 2023,"700,955 members"
1506,Ani ni Tsukeru Kusuri wa Nai! 3,7.68,TV,12,Oct 2019 - Dec 2019,"43,251 members"
1507,Asagao to Kase-san.,7.68,OVA,1,Jun 2018 - Jun 2018,"136,744 members"
1508,Cang Yuan Tu 3,7.68,ONA,?,Apr 2026 -,"1,377 members"
1509,Cardcaptor Sakura: Clear Card-hen,7.68,TV,22,Jan 2018 - Jun 2018,"135,753 members"
1510,Chi's Sweet Home,7.68,TV,104,Mar 2008 - Sep 2008,"68,990 members"
1511,D.Gray-man Hallow,7.68,TV,13,Jul 2016 - Sep 2016,"200,984 members"
1512,Doraemon Movie 07: Nobita to Tetsujin Heidan,7.68,Movie,1,Mar 1986 - Mar 1986,"10,663 members"
1513,Doraemon Movie 26: Nobita no Kyouryuu 2006,7.68,Movie,1,Mar 2006 - Mar 2006,"19,365 members"
1514,Doraemon Movie 33: Nobita no Himitsu Dougu Museum,7.68,Movie,1,Mar 2013 - Mar 2013,"10,791 members"
1515,Hirogaru Sky! Precure,7.68,TV,50,Feb 2023 - Jan 2024,"13,126 members"
1516,Hourou Musuko,7.68,TV,11,Jan 2011 - Apr 2011,"138,263 members"
1517,Konnichiwa Anne: Before Green Gables,7.68,TV,39,Apr 2009 - Dec 2009,"9,540 members"
